idPasajero,idTipoPasajero,Nombres,Apellidos,Pasaporte,FechaNacimiento
"",1,Ainslie,Berrington,276922377,1996/09/13
"",1,Emelda,Kunkler,808769115,1969/08/01
"",1,Cordula,Attewell,746180211,1981/09/29
"",1,Gwenette,Yoell,813411119,2000/12/12
"",3,Halli,Ettery,403781938,1989/10/27
"",2,Melissa,Seaborn,073949170,1990/05/04
"",3,Berri,Janoch,598257088,1961/05/02
"",1,Tiff,Chavez,820981314,1966/10/25
"",3,Dara,Kyteley,210160267,2014/10/27
"",1,Walden,Moulson,586112707,1965/07/12
"",1,Tiff,O'Haire,551852763,2015/02/06
